Disease,Description,Symptoms ,Precautions,Medications,Diets
Follicular lymphoma,"A type of kidney disease that causes scarring in the glomeruli, leading to protein loss in urine and eventual kidney failure.","Proteinuria (protein in urine), swelling (edema), high blood pressure, fatigue, decreased kidney function.","Regular monitoring, maintain a healthy diet, manage blood pressure.","Corticosteroids, immunosuppressants, diuretics, dialysis or kidney transplant in severe cases.","Anti-inflammatory diet rich in fruits, vegetables, whole grains, and healthy fats. Limit processed foods, sugar, and red meat."
Friedreich’s ataxia,"A slow-growing type of non-Hodgkin's lymphoma that affects the lymph nodes and bone marrow, causing painless swelling.","Swollen lymph nodes, fatigue, weight loss, night sweats, fever.","Regular check-ups, avoid smoking, maintain a healthy lifestyle.","Chemotherapy, radiation therapy, targeted therapy (rituximab), bone marrow transplant in severe cases.","Nutrient-dense diet to support energy needs; focus on whole foods. Adequate hydration, fiber-rich foods to prevent constipation."
Frontotemporal dementia,"A rare inherited disorder that causes progressive damage to the nervous system, leading to movement problems and heart disease.","Difficulty walking, loss of coordination, muscle weakness, vision and hearing loss, heart palpitations.","Genetic counseling, physical therapy, regular monitoring.","No specific cure, physical therapy, speech therapy, surgery for scoliosis, heart medications (beta-blockers, ACE inhibitors)."," Diet rich in omega-3 fatty acids (fish, flaxseeds), antioxidants (berries, green leafy vegetables). Limit refined sugars and saturated fats."
Galactosemia,"A group of brain disorders that primarily affect the frontal and temporal lobes, leading to changes in personality, behavior, and language abilities.","Personality changes, apathy, language difficulties, impulsivity, memory loss (in later stages).","Regular monitoring, early diagnosis, cognitive therapy.","No specific cure, medications to manage symptoms (antidepressants, antipsychotics), speech and occupational therapy."," Strict avoidance of all foods containing galactose (dairy products, certain legumes). Calcium and vitamin D supplements are essential."
Gastric varices,"A rare genetic disorder that affects the body’s ability to process galactose, a sugar found in dairy products, leading to harmful buildup in the body.","Poor feeding, vomiting, lethargy, jaundice, intellectual disability (if untreated).","Avoid dairy products, genetic counseling, early diagnosis.","Lactose-free diet, calcium and vitamin D supplements, regular monitoring for complications.", Low-sodium diet to prevent fluid retention; nutrient-rich foods for overall health. Avoid alcohol and spicy foods.
Gastroesophageal cancer,"Cancer of the esophagus or stomach, often diagnosed at an advanced stage.","Difficulty swallowing, weight loss, indigestion, nausea, abdominal pain, black or bloody stools.","Regular check-ups, report persistent symptoms to a healthcare provider.","Chemotherapy (cisplatin, carboplatin), targeted therapies (trastuzumab), radiation therapy.","- Small, frequent meals; focus on soft foods if swallowing is difficult.
- Nutrient-dense foods rich in protein and vitamins (smoothies, soups)."
Gaucher’s disease,"Genetic disorder due to a deficiency of the enzyme glucocerebrosidase, leading to fatty substance accumulation in organs.","Enlarged spleen and liver, bone pain, fatigue, bruising, anemia, neurological symptoms in some types.","Regular monitoring, genetic counseling, avoid strenuous activities if experiencing bone pain.","Enzyme replacement therapy (imiglucerase, velaglucerase alfa), substrate reduction therapy (eliglustat).","- Balanced diet with adequate healthy fats, proteins, and carbohydrates.
- Nutrient-rich foods to support overall health; limit refined sugars."
Glanzmann’s thrombasthenia,"A rare inherited bleeding disorder where platelets cannot aggregate properly, leading to excessive bleeding.","Easy bruising, frequent nosebleeds, heavy menstrual periods, prolonged bleeding after cuts or dental work.",Inform healthcare providers about the condition before surgeries or dental procedures; avoid medications that affect platelet function.,"Platelet transfusions, antifibrinolytics, desmopressin in some cases, supportive care for bleeding episodes.","- Nutrient-dense foods to support blood health (iron-rich foods).
- Avoid foods that increase bleeding risk (high doses of vitamin E, certain herbs)."
Glaucoma,"A group of eye conditions that damage the optic nerve, often associated with increased pressure in the eye, potentially leading to vision loss.","Loss of peripheral vision, blurred vision, headache, eye pain, halos around lights.",Regular eye exams for early detection; adhere to prescribed medications to manage eye pressure.,"Eye drops to lower intraocular pressure (prostaglandin analogs, beta-blockers), oral medications, and surgery in severe cases.","Eat foods rich in antioxidants (fruits, vegetables) to support eye health. Omega-3 fatty acids (fish, flaxseeds) may also be beneficial."
Glossopharyngeal neuralgia,"A rare condition characterized by severe, sudden pain in the throat, tongue, ear, and tonsils due to irritation of the glossopharyngeal nerve.","Severe pain in the throat, ear, and tongue, often triggered by swallowing, talking, or yawning; episodes can be brief but intense.","Identify and avoid triggers (e.g., certain foods, swallowing hard foods); consult with a healthcare professional for pain management strategies.","Anticonvulsants (carbamazepine), surgery may be needed in severe cases.",Maintain a soft diet to avoid triggering pain; stay hydrated. Anti-inflammatory foods may help manage symptoms.
Goodpasture’s syndrome," Syndrome	An autoimmune disorder characterized by the presence of antibodies against the basement membrane in the lungs and kidneys, leading to lung hemorrhage and kidney failure.","Fatigue, hemoptysis (coughing up blood), shortness of breath, kidney dysfunction symptoms (swelling, high blood pressure, changes in urine).",Early detection and treatment are crucial; regular monitoring of kidney function.,"Corticosteroids, immunosuppressants, plasmapheresis in severe cases.",A balanced diet that supports kidney health: low in sodium and protein if kidney function is impaired; adequate hydration.
Gorlin syndrome,"	A genetic condition causing skin lesions, jaw cysts, and an increased risk of various cancers, particularly basal cell carcinoma.","Skin tumors (basal cell carcinomas), jaw cysts, skeletal abnormalities, increased risk of other cancers.",Regular skin examinations and screenings for cancers; avoid excessive sun exposure.,Surgical removal of tumors; regular monitoring; topical chemotherapy for skin lesions.,"A diet rich in antioxidants (fruits, vegetables) to help support skin health; consider supplements for bone health as advised by a healthcare provider."
Granulomatosis with polyangiitis (Wegener's granulomatosis),"An autoimmune disease characterized by inflammation of blood vessels (vasculitis) that can affect multiple organs, primarily the lungs and kidneys.","Respiratory symptoms (cough, hemoptysis), kidney dysfunction, fever, weight loss, fatigue, sinusitis.",Early diagnosis and treatment are crucial; avoid infections due to immunosuppressive therapy.,"Corticosteroids, immunosuppressants (cyclophosphamide, rituximab), supportive therapies.",Focus on a nutrient-rich diet to support overall health; stay hydrated; avoid foods that may increase inflammation.
Graves' disease,"An autoimmune disorder that results in overactivity of the thyroid gland (hyperthyroidism), leading to excess production of thyroid hormones","Anxiety, irritability, weight loss, increased appetite, sweating, heat intolerance, tremors, bulging eyes (exophthalmos).",Regular monitoring of thyroid levels; avoid excessive iodine intake; manage stress levels.,"Antithyroid medications (methimazole, propylthiouracil), beta-blockers for symptom relief, radioactive iodine therapy, or surgery in severe cases.","A well-balanced diet; consider a diet low in iodine (limit iodized salt, seaweed, and certain fish); focus on whole foods to support overall health."
Haemochromatosis,"A genetic condition causing excessive iron absorption, leading to iron overload in the body, which can damage organs.","Fatigue, joint pain, abdominal pain, skin discoloration (bronze skin), diabetes, liver dysfunction.","Avoid iron supplements; limit vitamin C intake, which increases iron absorption; regular monitoring of iron levels.","Phlebotomy (regular blood removal), iron chelation therapy, dietary modifications.","Avoid iron-rich foods (red meat, liver), limit vitamin C intake with meals; focus on a diet rich in fruits, vegetables, and whole grains to support overall health."
Hantavirus pulmonary syndrome,"A severe respiratory disease caused by hantavirus, transmitted primarily through contact with infected rodents.","Fever, muscle aches, fatigue, coughing, shortness of breath, low blood pressure.",Avoid contact with rodents and their droppings; maintain cleanliness in homes and avoid places where rodents may inhabit.,Avoid contact with rodents and their droppings; maintain cleanliness in homes and avoid places where rodents may inhabit.,Supportive care for respiratory symptoms; no specific antiviral treatment available.
